Company,"CIK Code","IRS Number",Ticker,Market,"Bus Street 1","Bus Street 2",City,County,"State Code","State Name","State Region",Zip,"Bus Phone","Parent CIK","Parent Name","SIC Code","SIC Description","NAICS Code","NAICS Description","Filer Act","S&P Index",Auditor,"Auditor Key","Auditor Affiliate","Auditor City","Auditor State Code","Auditor State Name","Auditor State Region","IC Opinion Key","Internal Control Report","Restated Internal Control Report",Opinion,"Agrees with Management","IC Framework","Effective Internal Controls","Year Ended Date","Fiscal Year","Signature Date","Note Dates","Filing Index Page","Source FTP Key",Source,"Source Date","Accounting Rule (GAAP/FASB) Application Failures","Financial Fraud, Irregularities and Misrepresentations","Errors in Accounting and Clerical Applications","Internal Control Weakness","Internal Control - Number Weaknesses Identified",Exemption(s),"Fees Currency","Audit Fees ($)","Non-Audit Fees ($)","Total Fees ($)","Share Price","Stock Price Date","Market Cap ($)","Financials Date","Revenue ($)","Earnings ($)","Book Value ($)","Assets ($)","First Auditor Report","First Management Report"
"OFG BANCORP",1030469,66-0538893,OFG,NYSE,"254 MU?OZ RIVERA AVENUE",,"SAN JUAN",,PR,"PUERTO RICO","US Southeast",00918,"(787) 771-6800",,,6022,"State Commercial Banks",522110,"Commercial Banking",34,"S&P 600 SmallCap","KPMG LLP",4,,"San Juan",PR,"PUERTO RICO","US Southeast",211215,"Auditor Report","Yes (1)","Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2023-02-24,,https://www.sec.gov/Archives/edgar/data/1030469/000103046923000010/0001030469-23-000010-index.htm,edgar/data/1030469/0001030469-23-000010.txt,10-K,"2023-02-24 16:08:50",,,,,0,,USD,"1,322,800","10,000","1,332,800",27.02,2021-12-29,"1,346,877,824",2021-12-31,"541,840,000","146,151,000","946,998,000","9,899,720,000",,
"AMYRIS, INC.",1365916,55-0856151,AMRS,"NASDAQ Global Select Market","5885 HOLLIS STREET, SUITE 100",,EMERYVILLE,Alameda,CA,CALIFORNIA,"US West",94608,"(510) 450-0761",,,2860,"Industrial Organic Chemicals",541710,"Research and Development in the Physical, Engineering, and Life Sciences",34,,"Macias Gini & O'Connell (MGO) LLP",2118,,"San Francisco",CA,CALIFORNIA,"US West",202430,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-09,,https://www.sec.gov/Archives/edgar/data/1365916/000136591622000032/0001365916-22-000032-index.htm,edgar/data/1365916/0001365916-22-000032.txt,10-K,"2022-03-09 06:19:29",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,763,400","124,300","1,887,700",5.22,2021-12-29,"1,609,006,976",2021-12-31,"341,817,000","-270,969,000","109,435,000","954,298,000",,
"WILSON BANK HOLDING CO",885275,62-1497076,WBHC,"Pink Current","623 W MAIN STREET","P.O. BOX 768",LEBANON,Wilson,TN,TENNESSEE,"US Southeast",37087,"(615) 444-2265",,,6021,"National Commercial Banks",522110,"Commercial Banking",34,,"Maggart & Associates PC",337,,Nashville,TN,TENNESSEE,"US Southeast",203067,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-04,,https://www.sec.gov/Archives/edgar/data/885275/000143774922006238/0001437749-22-006238-index.htm,edgar/data/885275/0001437749-22-006238.txt,10-K,"2022-03-15 10:01:04",,,,,0,,USD,"337,152","16,618","353,770",24.66,2021-12-31,"276,229,088",2021-12-31,"149,650,000","49,426,000","408,912,000","3,989,596,000",,
"CLEANSPARK, INC.",827876,87-0449945,CLSK,"NASDAQ Capital Market","2370 CORPORATE CIRCLE","SUITE 160",HENDERSON,Clark,NV,NEVADA,"US West",89074,"(702) 941-8047",,,6199,"Finance Services",562213,"Solid Waste Combustors and Incinerators",34,,"MaloneBailey LLP",151,,Houston,TX,TEXAS,"US Southwest",197164,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-09-30,2021,2021-12-14,,https://www.sec.gov/Archives/edgar/data/827876/000166357721000668/0001663577-21-000668-index.htm,edgar/data/827876/0001663577-21-000668.txt,10-K,"2021-12-14 17:15:43","|Acc - Acquisition, merger, disposal or reorganization issues|Acc - Revenue recognition issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|",4,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"924,871",0,"924,871",10.94,2021-09-28,"389,368,480",2021-09-30,"39,287,105","-21,812,010","285,445,175","317,473,121",,
"BIT Mining Ltd",1517496,,BTCM,NYSE,"428 SOUTH SEIBERLING STREET",,AKRON,Summit,OH,OHIO,"US Midwest",44306,"(346) 204-8537",,,7374,"Computer Processing and Data Preparation and Processing Services",713290,"Other Gambling Industries",34,,"MaloneBailey LLP",151,,Houston,TX,TEXAS,"US Southwest",205348,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-04-07,,https://www.sec.gov/Archives/edgar/data/1517496/000141057822000840/0001410578-22-000840-index.htm,edgar/data/1517496/0001410578-22-000840.txt,20-F,"2022-04-07 16:01:56","|Acc - Acquisition, merger, disposal or reorganization issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Accounting personnel resources, competency/training|",1,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,020,000","690,000","1,710,000",6.23,2021-12-29,"267,969,552",2021-12-31,"1,328,876,000","-60,516,000","83,277,000","296,116,000",,
"GRUPO SIMEC, S.A.B. de C.V.",887153,00-0000000,SIM,"NYSE MKT","CALZADA LAZARO CARDENAS 601",,GUADALAJARA,,O5,MEXICO,Foreign,44440,"01152 333 669 5742",,,3312,"Steel Works, Blast Furnaces (Including Coke Ovens), and Rolling Mills",331111,"Iron and Steel Mills",34,,"Marcelo de los Santos y Cía SC",14044,,"San Luis Potosi",O5,MEXICO,Foreign,206506,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2021-05-17,,https://www.sec.gov/Archives/edgar/data/887153/000121390022027975/0001213900-22-027975-index.htm,edgar/data/887153/0001213900-22-027975.txt,20-F,"2022-05-18 17:07:59","|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Non-routine transaction control issues|",11,,USD,"966,676",0,"966,676",27.57,2021-12-29,"12,791,909,376",2021-12-31,"2,717,828,000","461,562,000","1,927,503,000","2,801,983,000",,
"SPI Energy Co., Ltd.",1210618,20-4956638,SPI,"NASDAQ Global Select Market","4803 URBANI AVE.",,"MCCLELLAN PARK",Sacramento,CA,CALIFORNIA,"US West",95652,"(408) 919-8000",,,3674,"Semiconductors and Related Devices",334413,"Semiconductor and Related Device Manufacturing",34,,"Marcum Bernstein & Pinchuk LLP",13587,,"New York",NY,"NEW YORK","US Mid Atlantic",205243,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-04-01,,https://www.sec.gov/Archives/edgar/data/1210618/000168316822002280/0001683168-22-002280-index.htm,edgar/data/1210618/0001683168-22-002280.txt,10-K,"2022-04-01 14:03:41","|Acc - PPE , intangible or fixed asset  (value/diminution) issues|Acc - Expense recording (payroll, SG&A) issues|Acc - Inventory, vendor, and cost of sales issues|Acc - Liabilities, payables, reserves and accrual estimate failures|Acc - Revenue recognition issues|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|IC - Treasury Control Issues|",6,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"916,700","51,500","968,200",3.79,2021-12-29,"90,441,016",2021-12-31,"161,993,000","-45,491,000","14,100,000","228,080,000",,
"ESTABLISHMENT LABS HOLDINGS INC.",1688757,,ESTA,"NASDAQ Capital Market","PO BOX 3140, COMMERCE HOUSE","WICKHAMS CAY 1, ROAD TOWN",TORTOLA,,D8,"VIRGIN ISLANDS (BRITISH)",Foreign,VG1110,50624342400,,,3842,"Orthopedic, Prosthetic, and Surgical Appliances and Supplies",339113,"Surgical Appliance and Supplies Manufacturing",34,,"Marcum LLP",8256,,"Costa Mesa",CA,CALIFORNIA,"US West",201571,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1688757/000168875722000019/0001688757-22-000019-index.htm,edgar/data/1688757/0001688757-22-000019.txt,10-K,"2022-03-01 16:09:52","|Acc - Unspecified/unidentified/inapplicable FASB/GAAP issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|",1,,USD,"730,000","10,000","740,000",62.55,2021-12-29,"1,501,429,376",2021-12-31,"126,682,000","-41,139,000","45,903,000","139,529,000",Yes,
"MARATHON DIGITAL HOLDINGS, INC.",1507605,01-0949984,MARA,"NASDAQ Capital Market","1180 N. TOWN CENTER DRIVE","SUITE 100","LAS VEGAS",Clark,NV,NEVADA,"US West",89144,"(800) 804-1690",,,7374,"Computer Processing and Data Preparation and Processing Services",423930,"Recyclable Material Merchant Wholesalers",34,,"Marcum LLP",8256,,"Costa Mesa",CA,CALIFORNIA,"US West",202618,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-09,,https://www.sec.gov/Archives/edgar/data/1507605/000149315222006446/0001493152-22-006446-index.htm,edgar/data/1507605/0001493152-22-006446.txt,10-K,"2022-03-10 06:17:33","|Acc - Revenue recognition issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|",1,,USD,"384,453","168,708","553,161",33.91,2021-12-29,"3,480,204,544",2021-12-31,"159,163,000","-37,096,000","681,169,000","1,444,331,000",Yes,
"Riot Platforms, Inc.",1167419,84-1553387,RIOT,"NASDAQ Capital Market","3855 AMBROSIA STREET, SUITE 301",,"CASTLE ROCK",Douglas,CO,COLORADO,"US West",80109,"(303) 794-2000",,,6199,"Finance Services",325413,"In-Vitro Diagnostic Substance Manufacturing",34,,"Marcum LLP",8256,,"Los Angeles",CA,CALIFORNIA,"US West",203402,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1167419/000107997322000280/0001079973-22-000280-index.htm,edgar/data/1167419/0001079973-22-000280.txt,10-K,"2022-03-16 17:11:35","|Acc - PPE , intangible or fixed asset  (value/diminution) issues|Acc - Revenue recognition issues|",,,"|IC - Material and/or numerous auditor /YE adjustments|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|",4,,USD,"831,025","55,220","886,245",23,2021-12-29,"2,666,577,408",2021-12-31,"213,243,000","-7,926,000","1,007,595,000","1,530,939,000",,
"LINDBLAD EXPEDITIONS HOLDINGS, INC.",1512499,27-4749725,LIND,"NASDAQ Capital Market","96 MORTON STREET","9TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10014,"(212) 261-9000",,,4700,"Transportation Services",483112,"Deep Sea Passenger Transportation",34,,"Marcum LLP",8256,,Melville,NY,"NEW YORK","US Mid Atlantic",201179,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1512499/000143774922004682/0001437749-22-004682-index.htm,edgar/data/1512499/0001437749-22-004682.txt,10-K,"2022-02-28 17:27:51",,,,,0,,USD,"735,499","5,300","740,799",17.04,2021-12-29,"855,410,944",2021-12-31,"147,107,000","-119,206,000","-39,308,000","827,491,000",,
"SPRUCE POWER HOLDING CORP",1772720,83-4109918,SPRU,NYSE,"47000 LIBERTY DRIVE",,WIXOM,Oakland,MI,MICHIGAN,"US Midwest",48393,"(617) 718-0329",,,3714,"Motor Vehicle Parts and Accessories",423120,"Motor Vehicle Supplies and New Parts Merchant Wholesalers",34,,"Marcum LLP",8256,,Melville,NY,"NEW YORK","US Mid Atlantic",201842,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1772720/000121390022010097/0001213900-22-010097-index.htm,edgar/data/1772720/0001213900-22-010097.txt,10-K,"2022-03-01 17:00:11","|Acc - Unspecified/unidentified/inapplicable FASB/GAAP issues|",,,"|IC - Untimely or inadequate account reconciliations|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|IC - Journal entry control issues|",1,,USD,"573,385","31,190","604,575",3.29,2021-12-29,"458,687,904",2021-12-31,"15,600,000","28,790,000","351,341,000","393,221,000",Yes,
"ACME UNITED CORP",2098,06-0236700,ACU,"NYSE MKT","1 WATERVIEW DRIVE",,SHELTON,Fairfield,CT,CONNECTICUT,"US New England",06484,"(203) 254-6060",,,3420,"Cutlery, Handtools & General Hardware",332212,"Hand and Edge Tool Manufacturing",34,,"Marcum LLP",8256,,"New Haven",CT,CONNECTICUT,"US New England",204455,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-30,,https://www.sec.gov/Archives/edgar/data/2098/000156459022012597/0001564590-22-012597-index.htm,edgar/data/2098/0001564590-22-012597.txt,10-K,"2022-03-30 16:06:26",,,,,0,,USD,"470,000","67,000","537,000",33.7856,2021-12-29,"120,266,160",2021-12-31,"182,087,559","13,655,679","55,051,603","144,438,684",,
"NATHANS FAMOUS, INC.",69733,11-3166443,NATH,"NASDAQ Global Select Market","ONE JERICHO PLAZA",,JERICHO,Nassau,NY,"NEW YORK","US Mid Atlantic",11753,"(516) 338-8500",,,5812,"Eating and Drinking Places",722211,"Limited-Service Restaurants",34,,"Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",195628,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-03-28,2021,2021-06-11,,https://www.sec.gov/Archives/edgar/data/69733/000143774921014536/0001437749-21-014536-index.htm,edgar/data/69733/0001437749-21-014536.txt,10-K,"2021-06-11 07:05:45",,,,,0,,USD,"235,000","10,300","245,300",67.04,2021-03-30,"275,865,184",2021-03-28,"75,839,000","11,075,000","-63,729,000","108,809,000",,
"B. Riley Financial, Inc.",1464790,27-0223495,RILY,"NASDAQ Global Market","11100 SANTA MONICA BLVD","SUITE 800","LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90025,"(818) 884-3737",,,6282,"Investment Advice",541990,"All Other Professional, Scientific, and Technical Services",34,"S&P 600 SmallCap","Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",200747,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1464790/000121390022009539/0001213900-22-009539-index.htm,edgar/data/1464790/0001213900-22-009539.txt,10-K,"2022-02-25 20:49:44",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"2,321,824",0,"2,321,824",89.05,2021-12-29,"2,455,068,672",2021-12-31,"1,554,698,000","445,054,000","548,052,000","5,851,919,000",,
"Social Capital Hedosophia Holdings Corp. VI",1818873,98-1547322,,,"506 SANTA CRUZ AVENUE, SUITE 300",,"MENLO PARK","San Mateo",CA,CALIFORNIA,"US West",94025,"(650) 521-9007",,,6770,"Blank Checks",999999,Unassigned,34,,"Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",201324,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1818873/000141057822000238/0001410578-22-000238-index.htm,edgar/data/1818873/0001410578-22-000238.txt,10-K,"2022-02-28 21:44:47","|Acc - Debt ,quasi-debt, warrants & equity ( BCF) security issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Non-routine transaction control issues|",1,,USD,"150,380",0,"150,380",10.24,2021-12-29,"1,177,600,000",2021-12-31,0,"48,496,833",,"1,150,611,328",Yes,
"Pershing Square Tontine Holdings, Ltd.",1811882,85-0930174,,,"787 ELEVENTH AVENUE","9TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 813-3700",,,6770,"Blank Checks",999999,Unassigned,34,,"Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",202132,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/1811882/000119312522064529/0001193125-22-064529-index.htm,edgar/data/1811882/0001193125-22-064529.txt,10-K,"2022-03-03 17:27:29",,,,,0,,USD,"101,455","9,579","111,034",19.69,2021-12-29,"3,937,999,872",2021-12-31,"2,146","833,301,124",,"4,031,929,320",Yes,
"Pershing Square Tontine Holdings, Ltd.",1811882,85-0930174,,,"787 ELEVENTH AVENUE","9TH FLOOR","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10019,"(212) 813-3700",,,6770,"Blank Checks",999999,Unassigned,34,,"Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",202156,"Auditor Report","Yes (1)","Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/1811882/000119312522065023/0001193125-22-065023-index.htm,edgar/data/1811882/0001193125-22-065023.txt,10-K/A,"2022-03-04 07:12:22",,,,,0,,USD,"101,455","9,579","111,034",19.69,2021-12-29,"3,937,999,872",2021-12-31,"2,146","833,301,124",,"4,031,929,320",Yes,
"Blink Charging Co.",1429764,03-0608147,BLNK,"NASDAQ Capital Market","407 LINCOLN ROAD, SUITE 704",,"MIAMI BEACH",Miami-Dade,FL,FLORIDA,"US Southeast",33139,"(305) 521-0200",,,3790,"Miscellaneous Transportation Equipment",335311,"Power, Distribution, and Specialty Transformer Manufacturing",34,,"Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",203391,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1429764/000149315222007015/0001493152-22-007015-index.htm,edgar/data/1429764/0001493152-22-007015.txt,10-K,"2022-03-16 17:05:40","|Acc - Inventory, vendor, and cost of sales issues|Acc - Revenue recognition issues|",,,"|IC - Inadequate disclosure controls (timely, accuracy, completeness)|IC - Accounting documentation, policy and/or procedures|",1,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"679,561",0,"679,561",26.27,2021-12-29,"1,108,595,328",2021-12-31,"20,940,000","-55,119,000","190,989,000","231,913,000",Yes,
"Inspired Entertainment, Inc.",1615063,47-1025534,INSE,"NASDAQ Capital Market","250 WEST 57TH STREET, SUITE 415",,"NEW YORK,","New York",NY,"NEW YORK","US Mid Atlantic",10107,"(646) 565-3861",,,7372,"Prepackaged Software",511210,"Software Publishers",34,,"Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",205176,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2021-03-31,,https://www.sec.gov/Archives/edgar/data/1615063/000149315222008568/0001493152-22-008568-index.htm,edgar/data/1615063/0001493152-22-008568.txt,10-K,"2022-03-31 17:22:15","|Acc - Unspecified/unidentified/inapplicable FASB/GAAP issues|",,,"|IC - Untimely or inadequate account reconciliations|IC - Accounting documentation, policy and/or procedures|",1,,USD,"1,215,000",0,"1,215,000",12.98,2021-12-29,"304,165,344",2021-12-31,"208,900,000","-36,700,000","-215,200,000","331,700,000",Yes,
"B. Riley Financial, Inc.",1464790,27-0223495,RILY,"NASDAQ Global Market","11100 SANTA MONICA BLVD","SUITE 800","LOS ANGELES","Los Angeles",CA,CALIFORNIA,"US West",90025,"(818) 884-3737",,,6282,"Investment Advice",541990,"All Other Professional, Scientific, and Technical Services",34,"S&P 600 SmallCap","Marcum LLP",8256,,"New York",NY,"NEW YORK","US Mid Atlantic",206348,"Auditor Report","Yes (1)","Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-25,,https://www.sec.gov/Archives/edgar/data/1464790/000121390022024568/0001213900-22-024568-index.htm,edgar/data/1464790/0001213900-22-024568.txt,10-K/A,"2022-05-06 16:58:13",,,,,0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"2,321,824",0,"2,321,824",89.05,2021-12-29,"2,455,068,672",2021-12-31,"1,554,698,000","445,054,000","548,052,000","5,851,919,000",,
"INSEEGO CORP.",1022652,81-3377646,INSG,"NASDAQ Global Select Market","9710 SCRANTON ROAD","SUITE 200","SAN DIEGO","San Diego",CA,CALIFORNIA,"US West",92121,"(858) 812-3400",,,3669,"Communications Equipment, NEC",518210,"Data Processing, Hosting, and Related Services",34,,"Marcum LLP",8256,,Philadelphia,PA,PENNSYLVANIA,"US Mid Atlantic",201721,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/1022652/000102265222000011/0001022652-22-000011-index.htm,edgar/data/1022652/0001022652-22-000011.txt,10-K,"2022-03-01 16:14:21",,,,,0,,USD,"870,865","26,368","897,233",5.44,2021-12-29,"571,887,552",2021-12-31,"262,399,000","-48,125,000","-92,185,000","215,843,000",,
"Riot Platforms, Inc.",1167419,84-1553387,RIOT,"NASDAQ Capital Market","3855 AMBROSIA STREET, SUITE 301",,"CASTLE ROCK",Douglas,CO,COLORADO,"US West",80109,"(303) 794-2000",,,6199,"Finance Services",325413,"In-Vitro Diagnostic Substance Manufacturing",34,,"Marcum LLP",8256,,"Los Angeles",CA,CALIFORNIA,"US West",208129,"Auditor Report","Yes (1)","Separate from Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-16,,https://www.sec.gov/Archives/edgar/data/1167419/000155335022000961/0001553350-22-000961-index.htm,edgar/data/1167419/0001553350-22-000961.txt,10-K/A,"2022-11-23 16:23:31","|Acc - PPE , intangible or fixed asset  (value/diminution) issues|Acc - Revenue recognition issues|",,,"|IC - Accounting documentation, policy and/or procedures|IC - Information technology, software, security & access issues|IC - Segregations of duties/ design of controls (personnel)|IC - Accounting personnel resources, competency/training|",4,,USD,"831,025","55,220","886,245",23,2021-12-29,"2,666,577,408",2021-12-31,"213,243,000","-7,926,000","1,007,595,000","1,530,939,000",,
"ALTISOURCE PORTFOLIO SOLUTIONS S.A.",1462418,98-0554932,ASPS,"NASDAQ Global Select Market","33, BOULEVARD PRINCE HENRI","L-1724 LUXEMBOURG CITY","GRAND DUCHY OF LUXEMBOURG",,N4,LUXEMBOURG,Foreign,50,"352 24 69 79 00",,,7380,"Services-Miscellaneous Business Services",522310,"Mortgage and Nonmortgage Loan Brokers",34,,"Mayer Hoffman McCann (CBIZ MHM) PC",308,,"Saint Petersburg",FL,FLORIDA,"US Southeast",202015,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-03,,https://www.sec.gov/Archives/edgar/data/1462418/000146241822000007/0001462418-22-000007-index.htm,edgar/data/1462418/0001462418-22-000007.txt,10-K,"2022-03-03 07:03:39",,,,,0,,USD,"1,807,142",0,"1,807,142",11.25,2021-12-29,"178,923,632",2021-12-31,"178,453,000","11,812,000","-162,961,000","257,808,000",,
"SUPERIOR GROUP OF COMPANIES, INC.",95574,11-1385670,SGC,"NASDAQ Global Market","10055 SEMINOLE BLVD",,SEMINOLE,Pinellas,FL,FLORIDA,"US Southeast",33772,"(727) 397-9611",,,2300,"Apparel & Other Finishd Prods of Fabrics & Similar Matl",315299,"All Other Cut and Sew Apparel Manufacturing",34,,"Mayer Hoffman McCann (CBIZ MHM) PC",308,,"Saint Petersburg",FL,FLORIDA,"US Southeast",203790,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,No,2021-12-31,2021,2022-03-23,,https://www.sec.gov/Archives/edgar/data/95574/000143774922006982/0001437749-22-006982-index.htm,edgar/data/95574/0001437749-22-006982.txt,10-K,"2022-03-23 14:20:48","|Acc - Tax expense/benefit/deferral/other (FAS 109) issues|",,,"|IC - Restatement or nonreliance of company filings|IC - Accounting documentation, policy and/or procedures|IC - Accounting personnel resources, competency/training|",1,,USD,"1,049,000",0,"1,049,000",22.1,2021-12-29,"352,963,776",2021-12-31,"536,986,000","29,440,000","127,136,000","470,245,000",,
"MITEK SYSTEMS INC",807863,87-0418827,MITK,"NASDAQ Capital Market","600 B STREET","SUITE 100","SAN DIEGO","San Diego",CA,CALIFORNIA,"US West",92101,"(619) 269-6800",,,3577,"Computer Peripheral Equipment, NEC",511210,"Software Publishers",34,,"Mayer Hoffman McCann (CBIZ MHM) PC",308,,"San Diego",CA,CALIFORNIA,"US West",197137,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,No,2021-09-30,2021,2021-12-10,,https://www.sec.gov/Archives/edgar/data/807863/000080786321000098/0000807863-21-000098-index.htm,edgar/data/807863/0000807863-21-000098.txt,10-K,"2021-12-10 20:24:18","|Acc - Lease, leasehold & FAS 13 (98) (subcategory) issues|",,,"|IC - Accounting documentation, policy and/or procedures|",0,"|Ex - Acquisition(s) during the past year (exemption)|",USD,"1,147,893","56,325","1,204,218",18.04,2021-09-28,"794,194,240",2021-09-30,"119,797,000","7,978,000","101,000,000","419,693,000",,
"Krystal Biotech, Inc.",1711279,82-1080209,KRYS,"NASDAQ Capital Market","2100 WHARTON STREET","SUITE 701",PITTSBURGH,Allegheny,PA,PENNSYLVANIA,"US Mid Atlantic",15203,"(412) 586-5830",,,2836,"Biological Products, Except Diagnostic Substances",325414,"Biological Product (except Diagnostic) Manufacturing",34,,"Mayer Hoffman McCann (CBIZ MHM) PC",308,,"San Diego",CA,CALIFORNIA,"US West",200791,"Auditor Report",No,"Separate from Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-02-28,,https://www.sec.gov/Archives/edgar/data/1711279/000171127922000004/0001711279-22-000004-index.htm,edgar/data/1711279/0001711279-22-000004.txt,10-K,"2022-02-28 07:30:44",,,,,0,,USD,"529,408",0,"529,408",70.74,2021-12-29,"1,573,115,008",2021-12-31,0,"-69,570,000",,"626,295,000",Yes,
"INTER PARFUMS INC",822663,13-3275609,IPAR,"NASDAQ Global Select Market","551 FIFTH AVE","STE 1500","NEW YORK","New York",NY,"NEW YORK","US Mid Atlantic",10176,"(212) 983-2640",,,2844,"Perfumes, Cosmetics, and Other Toilet Preparations",325620,"Toilet Preparation Manufacturing",34,"S&P 600 SmallCap","Mazars USA LLP",29380,,"New York",NY,"NEW YORK","US Mid Atlantic",201573,"Auditor Report",No,"Integrated with Financial Statement Opinion",Yes,2013,Yes,2021-12-31,2021,2022-03-01,,https://www.sec.gov/Archives/edgar/data/822663/000175392622000273/0001753926-22-000273-index.htm,edgar/data/822663/0001753926-22-000273.txt,10-K,"2022-03-01 16:24:50",,,,,0,,USD,"1,200,000","52,300","1,252,300",106.09,2021-12-29,"3,366,647,296",2021-12-31,"879,516,000","87,411,000","357,873,000","1,145,364,000",,
